epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0302,0.84569,4.05204,1.25833,0,0,0,0,0.90555,4.24394,1.14371,0,0,0
2,30.9199,0.94918,4.08503,1.27302,0,0,0,0,0.88987,4.24634,1.13632,5.23396e-06,5.23396e-06,5.23396e-06
3,42.7558,0.93313,4.13204,1.28878,0,0,0,0,0.87066,4.24908,1.12967,1.04159e-05,1.04159e-05,1.04159e-05
4,50.6759,0.78425,4.12875,1.2042,0,0,0,0,0.86528,4.24505,1.12587,1.55457e-05,1.55457e-05,1.55457e-05
5,58.4662,0.87965,4.06604,1.25825,0,0,0,0,0.85721,4.24802,1.12439,2.06234e-05,2.06234e-05,2.06234e-05
6,72.7008,0.84129,4.03969,1.20814,0,0,0,0,0.84588,4.25433,1.10985,2.56491e-05,2.56491e-05,2.56491e-05
7,85.0495,0.81281,4.10044,1.21619,0,0,0,0,0.86098,4.25262,1.10528,3.06227e-05,3.06227e-05,3.06227e-05
8,95.6752,0.68706,3.94561,1.12082,0,0,0,0,0.85861,4.25197,1.09834,3.55442e-05,3.55442e-05,3.55442e-05
9,103.783,0.75026,3.99831,1.18235,0,0,0,0,0.86027,4.25208,1.10391,4.04136e-05,4.04136e-05,4.04136e-05
10,116.055,0.61225,3.97624,1.09026,0,0,0,0,0.88533,4.2482,1.11676,4.5231e-05,4.5231e-05,4.5231e-05
11,128.056,0.64766,3.85255,1.08535,0,0,0,0,0.91222,4.24279,1.1282,4.99963e-05,4.99963e-05,4.99963e-05
12,140.36,0.68148,3.91481,1.11699,0,0,0,0,0.87302,4.25156,1.10269,5.47095e-05,5.47095e-05,5.47095e-05
13,147.933,0.66416,3.92914,1.07111,0,0,0,0,0.86764,4.24955,1.09557,5.93707e-05,5.93707e-05,5.93707e-05
14,156.17,0.52793,3.84592,1.02296,0,0,0,0,0.85476,4.24728,1.10327,6.39797e-05,6.39797e-05,6.39797e-05
15,170.364,0.54304,3.78225,0.98563,0,0,0,0,0.83554,4.25077,1.09447,6.85367e-05,6.85367e-05,6.85367e-05
16,185.108,0.47984,3.77665,0.96997,0,0,0,0,0.85337,4.24643,1.09418,7.30417e-05,7.30417e-05,7.30417e-05
17,192.788,0.50695,3.71692,1.0132,0,0,0,0,0.86602,4.25803,1.10066,7.74945e-05,7.74945e-05,7.74945e-05
18,201.04,0.48037,3.75612,0.98971,0,0,0,0,0.86602,4.25803,1.10066,8.18953e-05,8.18953e-05,8.18953e-05
19,210.822,0.46021,3.8156,0.93363,0,0,0,0,0.88538,4.25686,1.10895,8.6244e-05,8.6244e-05,8.6244e-05
20,220.504,0.46686,3.68458,0.96647,0,0,0,0,0.88538,4.25686,1.10895,9.05406e-05,9.05406e-05,9.05406e-05
21,227.166,0.48381,3.67628,0.92902,0,0,0,0,0.91306,4.23937,1.11222,9.47852e-05,9.47852e-05,9.47852e-05
22,233.853,0.47087,3.68473,0.95048,0,0,0,0,0.91306,4.23937,1.11222,9.89777e-05,9.89777e-05,9.89777e-05
23,240.592,0.55263,3.6585,0.94767,0,0,0,0,0.92982,4.2275,1.11522,0.000103118,0.000103118,0.000103118
24,254.172,0.44767,3.58004,0.89245,0,0,0,0,0.92982,4.2275,1.11522,0.000107206,0.000107206,0.000107206
25,260.765,0.54002,3.51622,0.97414,0,0,0,0,0.91945,4.21113,1.10894,0.000111243,0.000111243,0.000111243
26,267.515,0.43396,3.54342,0.96839,0,0,0,0,0.91945,4.21113,1.10894,0.000115227,0.000115227,0.000115227
27,274.084,0.39785,3.43979,0.91676,0,0,0,0,0.92065,4.19542,1.10844,0.000119159,0.000119159,0.000119159
28,283.2,0.46367,3.43472,0.9448,0,0,0,0,0.92065,4.19542,1.10844,0.000123039,0.000123039,0.000123039
